city,component,n,ok_count,not_ok_count,share_ok
adelaide_south_australia_australia,egress_ok,8922.0,6350.0,2572.0,0.712
amsterdam_netherlands,egress_ok,54703.0,11923.0,42780.0,0.218
arequipa_peru,egress_ok,4782.0,720.0,4062.0,0.151
delft_netherlands,egress_ok,112420.0,62184.0,50236.0,0.553
hai_duong_h_i_d_ng_vietnam,egress_ok,268.0,268.0,0.0,1.0
huainan_anhui_china,egress_ok,787.0,787.0,0.0,1.0
jaynagar_bih_r_india,egress_ok,126.0,126.0,0.0,1.0
kakogawacho_honmachi_hy_go_japan,egress_ok,12593.0,12593.0,0.0,1.0
kananga_kasa_central_congo_kinshasa,egress_ok,316.0,316.0,0.0,1.0
maracay_aragua_venezuela,egress_ok,11272.0,11272.0,0.0,1.0
montes_claros_minas_gerais_brazil,egress_ok,888.0,888.0,0.0,1.0
naihati_west_bengal_india,egress_ok,537.0,537.0,0.0,1.0
narayanganj_dhaka_bangladesh,egress_ok,6031.0,6031.0,0.0,1.0
nouakchott_nouakchott_ouest_mauritania,egress_ok,18522.0,18522.0,0.0,1.0
spring_valley_nevada_united_states,egress_ok,41015.0,39268.0,1747.0,0.957
temuco_araucan_a_chile,egress_ok,7316.0,7316.0,0.0,1.0
vologda_russia,egress_ok,7950.0,3893.0,4057.0,0.49
