city,component,n,ok_count,not_ok_count,share_ok
adelaide_south_australia_australia,walk_direct_ok,8922.0,2540.0,6382.0,0.285
amsterdam_netherlands,walk_direct_ok,54703.0,40735.0,13968.0,0.745
arequipa_peru,walk_direct_ok,4782.0,4062.0,720.0,0.849
delft_netherlands,walk_direct_ok,112420.0,50236.0,62184.0,0.447
hai_duong_h_i_d_ng_vietnam,walk_direct_ok,268.0,25.0,243.0,0.093
huainan_anhui_china,walk_direct_ok,787.0,64.0,723.0,0.081
jaynagar_bih_r_india,walk_direct_ok,126.0,13.0,113.0,0.103
kakogawacho_honmachi_hy_go_japan,walk_direct_ok,12593.0,9164.0,3429.0,0.728
kananga_kasa_central_congo_kinshasa,walk_direct_ok,316.0,79.0,237.0,0.25
maracay_aragua_venezuela,walk_direct_ok,11272.0,5508.0,5764.0,0.489
montes_claros_minas_gerais_brazil,walk_direct_ok,888.0,432.0,456.0,0.486
naihati_west_bengal_india,walk_direct_ok,537.0,246.0,291.0,0.458
narayanganj_dhaka_bangladesh,walk_direct_ok,6031.0,174.0,5857.0,0.029
nouakchott_nouakchott_ouest_mauritania,walk_direct_ok,18522.0,6289.0,12233.0,0.34
spring_valley_nevada_united_states,walk_direct_ok,41015.0,5138.0,35877.0,0.125
temuco_araucan_a_chile,walk_direct_ok,7316.0,3068.0,4248.0,0.419
vologda_russia,walk_direct_ok,7950.0,3670.0,4280.0,0.462
